1000
;;;Imported Bertec Force Plate #1 - Force;;;Imported Bertec Force Plate #1 - Moment;;;Imported Bertec Force Plate #1 - CoP;;;
Frame;Sub Frame;Tiempo;Fx;Fy;Fz;Mx;My;Mz;Cx;Cy;Cz
;;;N;N;N;N.mm;N.mm;N.mm;mm;mm;mm
222;2;0.132;6.00221;0.905688;-447.047;-561.052;27006.5;-360.05;260.411;301.255;0
222;3;0.133;6.14679;0.932634;-446.954;-563.581;27076.9;-368.332;260.581;301.261;0
222;4;0.134;6.2938;0.958075;-446.858;-565.864;27148.9;-376.774;260.755;301.266;0
222;5;0.135;6.44312;0.98191;-446.759;-567.872;27222.4;-385.377;260.933;301.271;0
222;6;0.136;6.59462;1.00403;-446.657;-569.571;27297.4;-394.136;261.115;301.275;0
222;7;0.137;6.74817;1.02434;-446.552;-570.919;27373.8;-403.05;261.3;301.279;0
222;8;0.138;6.9036;1.04273;-446.445;-571.87;27451.7;-412.113;261.49;301.281;0
222;9;0.139;7.06077;1.05908;-446.334;-572.373;27530.9;-421.321;261.682;301.282;0
223;0;0.14;7.21952;1.07329;-446.221;-572.37;27611.4;-430.667;261.878;301.283;0
223;1;0.141;7.37968;1.08525;-446.103;-571.8;27693.1;-440.144;262.078;301.282;0
223;2;0.142;7.54108;1.09485;-445.983;-570.597;27776;-449.742;262.28;301.279;0
223;3;0.143;7.70352;1.10199;-445.858;-568.689;27860;-459.452;262.486;301.275;0
223;4;0.144;7.86684;1.10655;-445.73;-566.003;27945.1;-469.261;262.695;301.27;0
223;5;0.145;8.03083;1.10845;-445.598;-562.461;28031.1;-479.155;262.907;301.262;0
223;6;0.146;8.19529;1.10759;-445.461;-557.982;28117.9;-489.12;263.121;301.253;0
223;7;0.147;8.36004;1.10389;-445.32;-552.484;28205.5;-499.139;263.338;301.241;0
223;8;0.148;8.52487;1.09726;-445.174;-545.883;28293.8;-509.192;263.557;301.226;0
223;9;0.149;8.68957;1.08764;-445.023;-538.094;28382.7;-519.26;263.778;301.209;0
224;0;0.15;8.85394;1.07497;-444.866;-529.029;28472;-529.321;264.001;301.189;0
224;1;0.151;9.01778;1.05919;-444.704;-518.607;28561.7;-539.351;264.226;301.166;0
224;2;0.152;9.18088;1.04026;-444.536;-506.742;28651.6;-549.325;264.453;301.14;0
224;3;0.153;9.34304;1.01815;-444.362;-493.356;28741.7;-559.216;264.681;301.11;0
224;4;0.154;9.50407;0.992846;-444.182;-478.373;28831.7;-568.997;264.91;301.077;0
224;5;0.155;9.66377;0.964335;-443.994;-461.72;28921.6;-578.636;265.14;301.04;0
224;6;0.156;9.82195;0.932623;-443.8;-443.332;29011.3;-588.103;265.37;300.999;0
224;7;0.157;9.97841;0.897727;-443.598;-423.152;29100.6;-597.366;265.601;300.954;0
224;8;0.158;10.133;0.859676;-443.388;-401.129;29189.4;-606.391;265.833;300.905;0
224;9;0.159;10.2855;0.818512;-443.169;-377.222;29277.5;-615.143;266.064;300.851;0
225;0;0.16;10.4357;0.774289;-442.942;-351.398;29364.9;-623.586;266.295;300.793;0
225;1;0.161;10.5835;0.727073;-442.706;-323.636;29451.3;-631.685;266.526;300.731;0
225;2;0.162;10.7287;0.676942;-442.461;-293.927;29536.7;-639.403;266.756;300.664;0
225;3;0.163;10.8711;0.623989;-442.206;-262.271;29620.9;-646.704;266.985;300.593;0
225;4;0.164;11.0107;0.568314;-441.94;-228.681;29703.9;-653.55;267.212;300.517;0
225;5;0.165;11.1471;0.510032;-441.664;-193.184;29785.3;-659.905;267.439;300.437;0
225;6;0.166;11.2804;0.449268;-441.377;-155.817;29865.3;-665.732;267.664;300.353;0
225;7;0.167;11.4103;0.386156;-441.079;-116.63;29943.5;-670.996;267.887;300.264;0
225;8;0.168;11.5367;0.320843;-440.769;-75.6874;30019.9;-675.662;268.108;300.172;0
225;9;0.169;11.6596;0.253483;-440.447;-33.0634;30094.5;-679.696;268.327;300.075;0
226;0;0.17;11.7787;0.184241;-440.113;11.1548;30167;-683.064;268.544;299.975;0
226;1;0.171;11.8941;0.113289;-439.767;56.869;30237.5;-685.736;268.758;299.871;0
226;2;0.172;12.0055;0.040807;-439.408;103.97;30305.7;-687.68;268.97;299.763;0
226;3;0.173;12.1131;-0.033018;-439.036;152.339;30371.8;-688.869;269.178;299.653;0
226;4;0.174;12.2166;-0.107995;-438.651;201.847;30435.5;-689.276;269.384;299.54;0
226;5;0.175;12.316;-0.183926;-438.252;252.357;30496.8;-688.875;269.587;299.424;0
226;6;0.176;12.4114;-0.260614;-437.841;303.724;30555.7;-687.645;269.787;299.306;0
226;7;0.177;12.5027;-0.337855;-437.415;355.795;30612.1;-685.565;269.984;299.187;0
226;8;0.178;12.5899;-0.415448;-436.976;408.414;30666.1;-682.618;270.178;299.065;0
226;9;0.179;12.6731;-0.493191;-436.523;461.417;30717.6;-678.789;270.369;298.943;0
227;0;0.18;12.7522;-0.570884;-436.056;514.636;30766.5;-674.066;270.556;298.82;0
227;1;0.181;12.8273;-0.648331;-435.575;567.901;30813;-668.442;270.741;298.696;0
227;2;0.182;12.8986;-0.725338;-435.08;621.04;30857;-661.911;270.923;298.573;0
227;3;0.183;12.9661;-0.801718;-434.57;673.877;30898.5;-654.472;271.101;298.449;0
227;4;0.184;13.0298;-0.877289;-434.046;726.239;30937.5;-646.129;271.277;298.327;0
227;5;0.185;13.09;-0.951875;-433.508;777.952;30974.2;-636.886;271.45;298.205;0
227;6;0.186;13.1467;-1.02531;-432.955;828.842;31008.5;-626.757;271.621;298.086;0
227;7;0.187;13.2002;-1.09743;-432.387;878.738;31040.5;-615.756;271.789;297.968;0
227;8;0.188;13.2505;-1.1681;-431.805;927.471;31070.2;-603.903;271.954;297.852;0
227;9;0.189;13.2978;-1.23716;-431.208;974.877;31097.8;-591.222;272.118;297.739;0
228;0;0.19;13.3424;-1.30449;-430.595;1020.79;31123.2;-577.743;272.279;297.629;0
228;1;0.191;13.3845;-1.36996;-429.968;1065.06;31146.6;-563.5;272.439;297.523;0
228;2;0.192;13.4241;-1.43347;-429.326;1107.54;31167.9;-548.529;272.597;297.42;0
228;3;0.193;13.4616;-1.49493;-428.668;1148.06;31187.4;-532.875;272.754;297.322;0
228;4;0.194;13.4971;-1.55424;-427.995;1186.49;31205.1;-516.583;272.91;297.228;0
228;5;0.195;13.5308;-1.61133;-427.307;1222.69;31221;-499.707;273.065;297.139;0
228;6;0.196;13.5629;-1.66613;-426.603;1256.53;31235.2;-482.3;273.218;297.055;0
228;7;0.197;13.5937;-1.71861;-425.884;1287.87;31247.8;-464.424;273.372;296.976;0
228;8;0.198;13.6233;-1.7687;-425.149;1316.6;31258.8;-446.142;273.524;296.903;0
228;9;0.199;13.6519;-1.8164;-424.398;1342.61;31268.4;-427.521;273.677;296.836;0
229;0;0.2;13.6797;-1.86168;-423.631;1365.77;31276.5;-408.634;273.83;296.776;0
229;1;0.201;13.7067;-1.90454;-422.849;1385.98;31283.3;-389.554;273.982;296.722;0
229;2;0.202;13.7333;-1.94497;-422.051;1403.16;31288.8;-370.359;274.135;296.675;0
