Devices
1000
		Imported Bertec Force Plate #1 - Force			Imported Bertec Force Plate #1 - Moment			Imported Bertec Force Plate #1 - CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
224	8	10.133	0.859676	-443.388	-401.129	29189.4	-606.391	265.833	300.905	0
224	9	10.2855	0.818512	-443.169	-377.222	29277.5	-615.143	266.064	300.851	0
225	0	10.4357	0.774289	-442.942	-351.398	29364.9	-623.586	266.295	300.793	0
225	1	10.5835	0.727073	-442.706	-323.636	29451.3	-631.685	266.526	300.731	0
225	2	10.7287	0.676942	-442.461	-293.927	29536.7	-639.403	266.756	300.664	0
225	3	10.8711	0.623989	-442.206	-262.271	29620.9	-646.704	266.985	300.593	0
225	4	11.0107	0.568314	-441.94	-228.681	29703.9	-653.55	267.212	300.517	0
225	5	11.1471	0.510032	-441.664	-193.184	29785.3	-659.905	267.439	300.437	0
225	6	11.2804	0.449268	-441.377	-155.817	29865.3	-665.732	267.664	300.353	0
225	7	11.4103	0.386156	-441.079	-116.63	29943.5	-670.996	267.887	300.264	0
225	8	11.5367	0.320843	-440.769	-75.6874	30019.9	-675.662	268.108	300.172	0
225	9	11.6596	0.253483	-440.447	-33.0634	30094.5	-679.696	268.327	300.075	0
226	0	11.7787	0.184241	-440.113	11.1548	30167	-683.064	268.544	299.975	0
226	1	11.8941	0.113289	-439.767	56.869	30237.5	-685.736	268.758	299.871	0
226	2	12.0055	0.0408071	-439.408	103.97	30305.7	-687.68	268.97	299.763	0
226	3	12.1131	-0.0330182	-439.036	152.339	30371.8	-688.869	269.178	299.653	0
226	4	12.2166	-0.107995	-438.651	201.847	30435.5	-689.276	269.384	299.54	0
226	5	12.316	-0.183926	-438.252	252.357	30496.8	-688.875	269.587	299.424	0
226	6	12.4114	-0.260614	-437.841	303.724	30555.7	-687.645	269.787	299.306	0
226	7	12.5027	-0.337855	-437.415	355.795	30612.1	-685.565	269.984	299.187	0
226	8	12.5899	-0.415448	-436.976	408.414	30666.1	-682.618	270.178	299.065	0
226	9	12.6731	-0.493191	-436.523	461.417	30717.6	-678.789	270.369	298.943	0
227	0	12.7522	-0.570884	-436.056	514.636	30766.5	-674.066	270.556	298.82	0
227	1	12.8273	-0.648331	-435.575	567.901	30813	-668.442	270.741	298.696	0
227	2	12.8986	-0.725338	-435.08	621.04	30857	-661.911	270.923	298.573	0
